date,По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду,temperature_mean,pressure_mean,humidity_mean,wind_speed_avg_mean,wind_speed_avg_max,solar_rad_sum,uv_max,pcp_sum,dow,dow_sin,dow_cos,month,month_sin,month_cos,is_weekend,is_friday,is_monday,is_peak_month,lag_1,lag_1_orders,lag_7,lag_7_orders,lag_14,lag_14_orders,lag_28,lag_28_orders,ma7,std7,growth_wow_7,ma14,std14,growth_wow_14,ma28,std28,growth_wow_28,stl_trend,stl_seasonal,stl_resid,is_anomaly,dow_x_month,is_friday_dec,is_friday_mar,avg_check,work_share
2024-11-12,2024-11-12,40.0,77250.0,0.0,77250.0,-3.595833333333333,755.0520833333334,89.76041666666667,4.872916666666667,6.3,1277.0,1.0,2.8,1,0.7818314824680298,0.6234898018587336,11,-0.5000000000000004,0.8660254037844384,0,0,0,1,45350.0,29.0,66660.0,37.0,53050.0,30.0,42550.0,21.0,60228.57142857143,14381.755141580754,10590.0,53011.42857142857,16073.613761088745,10590.0,48377.142857142855,14245.873959421468,10590.0,55905.274757493826,11935.031695800717,9409.693546705457,0,11,0,0,1931.2499517187514,0.9999999999870551
2024-11-13,2024-11-13,36.0,68600.0,0.0,68600.0,-2.075,752.03125,90.51041666666669,3.825,4.7,1189.0,1.0,1.8,2,0.9749279121818236,-0.22252093395631434,11,-0.5000000000000004,0.8660254037844384,0,0,0,1,77250.0,40.0,75950.0,35.0,35400.0,21.0,39650.0,24.0,59178.57142857143,13267.813721649256,-7350.0,55382.857142857145,15720.646604714831,-7350.0,49411.07142857143,14634.284539898312,-7350.0,55848.71750173319,11057.449973945399,1693.832524321413,0,22,0,0,1905.5555026234583,0.9999999999854229
2024-11-14,2024-11-14,40.0,77600.0,0.0,77600.0,-1.3166666666666669,749.1354166666666,89.51041666666667,4.572916666666667,5.5,1656.5,1.0,0.2,3,0.43388373911755823,-0.900968867902419,11,-0.5000000000000004,0.8660254037844384,0,0,0,1,68600.0,36.0,60150.0,32.0,55500.0,26.0,31250.0,18.0,61671.42857142857,15006.18919931766,17450.0,56961.42857142857,16805.45875470367,17450.0,51066.42857142857,15117.376613069253,17450.0,55755.5116291512,3619.418546658149,18225.069824190643,0,33,0,0,1939.9999515000013,0.9999999999871135
2024-11-15,2024-11-15,34.0,61400.0,0.0,61400.0,-1.086666666666667,745.8666666666667,89.96666666666667,5.384444444444445,6.1,1176.5,1.0,0.5,4,-0.433883739117558,-0.9009688679024191,11,-0.5000000000000004,0.8660254037844384,0,1,0,1,77600.0,40.0,57650.0,32.0,49150.0,21.0,59750.0,30.0,62207.142857142855,14905.296278265017,3750.0,57836.42857142857,16685.941852185268,3750.0,51125.357142857145,15155.64690803582,3750.0,55574.16873536651,3481.011553297066,2344.819711336422,0,44,0,0,1805.8822998269914,0.9999999999837134
2024-11-16,2024-11-16,25.0,51300.0,0.0,51300.0,-0.3354166666666667,741.5416666666666,88.72916666666667,6.2437499999999995,7.5,1315.0,1.0,5.8,5,-0.9749279121818236,-0.2225209339563146,11,-0.5000000000000004,0.8660254037844384,1,0,0,1,61400.0,34.0,66050.0,31.0,54900.0,27.0,36800.0,20.0,60100.0,15308.630463456557,-14750.0,57579.28571428572,16762.240287340825,-14750.0,51643.21428571428,14893.490761520266,-14750.0,55515.15281657124,-2585.264820847736,-1629.887995723504,0,55,0,0,2051.999917920003,0.9999999999805068
2024-11-17,2024-11-17,17.0,35750.0,0.0,35750.0,0.0875,740.4375,94.57291666666669,6.6937500000000005,7.6,1074.5,1.0,4.6,6,-0.7818314824680299,0.6234898018587334,11,-0.5000000000000004,0.8660254037844384,1,0,0,1,51300.0,25.0,39200.0,21.0,21600.0,13.0,20450.0,15.0,59607.142857142855,16127.29127316572,-3450.0,58590.0,14729.228399029316,-3450.0,52189.642857142855,13957.940918435537,-3450.0,55552.565600280876,-18393.45309728282,-1409.112502998054,0,66,0,0,2102.9410527681734,0.9999999999720279
2024-11-18,2024-11-18,25.0,45000.0,0.0,45000.0,0.6208333333333333,742.9479166666666,93.70833333333331,6.289583333333333,6.6,916.0,1.0,0.6000000000000001,0,0.0,1.0,11,-0.5000000000000004,0.8660254037844384,0,0,1,1,35750.0,17.0,45350.0,29.0,37350.0,21.0,42700.0,21.0,59557.142857142855,16179.318809605691,-350.0,59136.42857142857,14004.731402220968,-350.0,52271.78571428572,13906.69943896508,-350.0,55715.36763328873,-7983.643798294452,-2731.7238349942854,0,0,0,0,1799.999928000003,0.9999999999777778
2024-11-19,2024-11-19,22.0,42450.0,0.0,42450.0,1.3666666666666665,745.46875,94.90625,5.3,6.3,1548.0,1.0,2.4,1,0.7818314824680298,0.6234898018587336,11,-0.5000000000000004,0.8660254037844384,0,0,0,1,45000.0,25.0,77250.0,40.0,66660.0,37.0,45950.0,21.0,54585.71428571428,15150.542187375047,-34800.0,57407.142857142855,14490.552056464281,-34800.0,52146.78571428572,13981.157704825204,-34800.0,56105.00389561704,15260.861877286463,-28915.865772903504,1,11,0,0,1929.5453668388468,0.9999999999764428
2024-11-20,2024-11-20,31.0,57500.0,0.0,57500.0,0.3999999999999999,747.0416666666666,93.60416666666669,3.7583333333333337,4.8,1468.5,1.0,0.2,2,0.9749279121818236,-0.22252093395631434,11,-0.5000000000000004,0.8660254037844384,0,0,0,1,42450.0,22.0,68600.0,36.0,75950.0,35.0,46600.0,22.0,53000.0,13974.530403559264,-11100.0,56089.28571428572,13478.033104783079,-11100.0,52536.07142857143,13972.74021729065,-11100.0,56830.153791600475,3019.68382679616,-2349.837618396632,0,22,0,0,1854.8386498439145,0.9999999999826087
2024-11-21,2024-11-21,37.0,63950.0,0.0,63950.0,0.6174999999999999,752.6375,84.7375,5.515,6.6,1049.5,1.0,0.3,3,0.43388373911755823,-0.900968867902419,11,-0.5000000000000004,0.8660254037844384,0,0,0,1,57500.0,31.0,77600.0,40.0,60150.0,32.0,39400.0,24.0,51050.0,10486.89658573984,-13650.0,56360.71428571428,13603.777452936123,-13650.0,53412.857142857145,13887.921706006502,-13650.0,57666.78408875306,4159.682316818284,2123.533594428656,0,33,0,0,1728.3783316654506,0.9999999999843627
