date,По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду,temperature_mean,pressure_mean,humidity_mean,wind_speed_avg_mean,wind_speed_avg_max,solar_rad_sum,uv_max,pcp_sum,dow,dow_sin,dow_cos,month,month_sin,month_cos,is_weekend,is_friday,is_monday,is_peak_month,lag_1,lag_1_orders,lag_7,lag_7_orders,lag_14,lag_14_orders,lag_28,lag_28_orders,ma7,std7,growth_wow_7,ma14,std14,growth_wow_14,ma28,std28,growth_wow_28,stl_trend,stl_seasonal,stl_resid,is_anomaly,dow_x_month,is_friday_dec,is_friday_mar,avg_check,work_share,parts_share
2020-07-07,2020-07-07,4.0,13900.0,5019.52,18919.52,23.082758620689653,746.551724137931,78.75862068965517,1.3275862068965518,3.6,10389.5,9.0,0.0,1,0.7818314824680298,0.6234898018587336,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,58209.0,4.0,129355.21,14.0,68397.12,6.0,58279.27,5.0,43510.95714285714,40249.19105639786,-110435.69,115059.81071428572,126309.92949639121,-110435.69,154363.30982142856,281537.01782222243,-110435.69,54178.99954850084,-30151.041140200126,-5108.438408300717,0,7,0,0,4729.878817530295,0.7346909434946187,0.26530905645252584
2020-07-08,2020-07-08,7.0,30100.0,13546.62,43646.62,26.045454545454547,747.8181818181819,70.3030303030303,1.1363636363636365,3.0,10796.0,9.0,0.0,2,0.9749279121818236,-0.22252093395631434,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,18919.52,4.0,33813.97,2.0,152944.31,9.0,52699.28,7.0,44915.62142857143,40025.324393104864,9832.650000000001,107252.83285714286,127163.09988423469,9832.650000000001,154040.00053571427,281663.2595816727,9832.650000000001,57311.491010926475,3062.4427047775976,-16727.31371570407,0,14,0,0,6235.230537824209,0.6896295749661799,0.3103704250109087
2020-07-09,2020-07-09,8.0,18270.0,4370.6,22640.6,28.009375,747.09375,63.65625,0.996875,1.8,10759.0,9.0,0.0,3,0.43388373911755823,-0.900968867902419,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,43646.62,7.0,17574.75,3.0,244920.95,8.0,83447.97,7.0,45639.31428571429,39490.81489483544,5065.8499999999985,91375.66500000001,122441.01835367338,5065.8499999999985,151868.30875000003,282460.9898579058,5065.8499999999985,58647.92648117873,2806.9099525246484,-38814.23643370338,0,21,0,0,2830.074646240669,0.8069574127537718,0.19304258720205994
2020-07-10,2020-07-10,10.0,136400.0,88765.73,225165.73,26.7,746.0,64.1875,1.18125,3.1,10319.0,9.0,0.5,4,-0.433883739117558,-0.9009688679024191,7,-0.4999999999999997,-0.8660254037844388,0,1,0,0,22640.6,8.0,125880.75,11.0,251146.48,8.0,49753.985,4.5,59822.88285714287,74988.86292658703,99284.98000000001,89519.89714285715,120005.86287199764,99284.98000000001,158133.01392857142,282057.2548490433,99284.98000000001,60489.54708943709,85505.01702136718,79171.16588919575,0,28,0,0,22516.57074834293,0.6057760210641033,0.39422397893145533
2020-07-11,2020-07-11,1.0,1350.0,68588.86499999999,1350.0,20.5375,749.375,74.59375,1.059375,3.0,10273.0,9.0,0.2,5,-0.9749279121818236,-0.2225209339563146,7,-0.4999999999999997,-0.8660254037844388,1,0,0,0,225165.73,10.0,43378.71,5.0,66582.2,4.0,16060.0,2.0,53818.78142857143,78141.21826225077,-42028.71,84860.4542857143,122211.08463861395,-42028.71,157607.65678571427,282345.23190961976,-42028.71,64158.933291787,-19740.220329220265,-43068.71296256673,0,35,0,0,1349.9986500013501,0.9999999992592592,50.80656662903216
2020-07-12,2020-07-12,3.0,40620.0,48412.0,89032.0,21.590625,749.4375,66.6875,0.884375,1.8,10320.0,9.0,0.0,6,-0.7818314824680299,0.6234898018587334,7,-0.4999999999999997,-0.8660254037844388,1,0,0,0,1350.0,1.0,6800.0,1.0,449461.5,14.0,38174.35,1.0,65566.20999999999,76047.67184459366,82232.0,59115.490000000005,63225.10112762665,82232.0,159424.00142857144,281711.32719113264,82232.0,69566.36780831552,3788.2883499220616,15677.343841762413,0,42,0,0,29677.323440892185,0.4562404528657535,0.5437595471230147
2020-07-13,2020-07-13,4.0,15550.0,55903.42333333333,15550.0,23.003125,747.46875,69.40625,1.13125,4.4,8861.0,9.0,0.0,0,0.0,1.0,7,-0.4999999999999997,-0.8660254037844388,0,0,1,0,89032.0,3.0,58209.0,4.0,11850.0,5.0,869377.52,9.0,59472.06714285714,78408.13418850447,-42659.0,59379.77571428572,63019.72943857109,-42659.0,128930.16142857142,245958.71306673143,-42659.0,76559.33058550178,-18453.413755694397,-42555.916829807386,0,0,0,0,3887.499028125243,0.9999999999356913,3.595075455288634
2020-07-14,2020-07-14,2.0,5670.0,63394.84666666667,5670.0,27.6125,745.96875,61.34375,1.2125,3.3,10565.0,9.0,0.0,1,0.7818314824680298,0.6234898018587336,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,15550.0,4.0,18919.52,4.0,129355.21,14.0,1273768.2,14.0,57579.278571428564,79699.52723675454,-13249.52,50545.11785714286,61095.62742260623,-13249.52,83640.93999999999,101924.32615267996,-13249.52,81257.91958497299,-48855.947059810365,-26731.972525162622,0,7,0,0,2834.9985825007084,0.9999999998236331,11.180748969221503
2020-07-15,2020-07-15,4.0,76160.0,70886.27,147046.27,29.359375,744.625,52.3125,1.68125,5.6,10524.0,9.0,0.0,2,0.9749279121818236,-0.22252093395631434,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,5670.0,2.0,43646.62,7.0,33813.97,2.0,55466.95,6.0,72350.65714285713,86018.36631080788,103399.65,58633.139285714286,66007.86652395752,103399.65,86911.62999999999,102454.73755093945,103399.65,83284.19344669621,248.17004594041168,63513.90650736337,0,14,0,0,36761.55830961042,0.5179322127618883,0.48206778723131116
2020-07-16,2020-07-16,5.0,51050.0,55537.92,106587.92,26.641935483870967,744.0645161290323,61.774193548387096,1.1870967741935483,4.5,2805.0,9.0,0.4,3,0.43388373911755823,-0.900968867902419,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,147046.27,4.0,22640.6,8.0,17574.75,3.0,108224.39,6.0,84343.13142857143,83754.92061866209,83947.32,64991.22285714286,66035.7806556298,83947.32,86853.18464285716,102442.59542757731,83947.32,84153.18263741232,16192.798930272187,6241.938432315495,0,21,0,0,21317.57973648405,0.47894733286399677,0.5210526671266213
