По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду
2020-05-02,1.0,294.15204678362574,0.0,294.15204678362574
2020-05-03,1.0,293.5672514619883,0.0,293.5672514619883
2020-05-04,1.0,292.9824561403509,0.0,292.9824561403509
2020-05-05,1.0,292.39766081871346,0.0,292.39766081871346
2020-05-06,1.0,291.812865497076,0.0,291.812865497076
2020-05-07,1.0,291.2280701754386,0.0,291.2280701754386
2020-05-08,1.0,290.6432748538012,0.0,290.6432748538012
2020-05-09,1.0,290.05847953216374,0.0,290.05847953216374
2020-05-10,1.0,289.4736842105263,0.0,289.4736842105263
2020-05-11,1.0,288.8888888888889,0.0,288.8888888888889
2020-05-12,1.0,288.30409356725147,0.0,288.30409356725147
2020-05-13,1.0,287.719298245614,0.0,287.719298245614
2020-05-14,1.0,287.1345029239766,0.0,287.1345029239766
2020-05-15,1.0,286.5497076023392,0.0,286.5497076023392
2020-05-16,1.0,285.96491228070175,0.0,285.96491228070175
2020-05-17,1.0,285.3801169590643,0.0,285.3801169590643
2020-05-18,1.0,284.7953216374269,0.0,284.7953216374269
2020-05-19,1.0,284.2105263157895,0.0,284.2105263157895
2020-05-20,1.0,283.62573099415204,0.0,283.62573099415204
2020-05-21,1.0,283.0409356725146,0.0,283.0409356725146
2020-05-22,1.0,282.4561403508772,0.0,282.4561403508772
2020-05-23,1.0,281.87134502923976,0.0,281.87134502923976
2020-05-24,1.0,281.2865497076023,0.0,281.2865497076023
2020-05-25,1.0,280.70175438596493,0.0,280.70175438596493
2020-05-26,1.0,280.1169590643275,0.0,280.1169590643275
2020-05-27,1.0,279.53216374269005,0.0,279.53216374269005
2020-05-28,1.0,278.94736842105266,0.0,278.94736842105266
2020-05-29,1.0,278.3625730994152,0.0,278.3625730994152
2020-05-30,1.0,277.77777777777777,0.0,277.77777777777777
2020-05-31,1.0,277.1929824561403,0.0,277.1929824561403
2020-06-01,1.0,276.60818713450294,0.0,276.60818713450294
